Nama,Kerja,Produktivitas,Kinerja
Budi Santoso,82,37,58
Ayu Lestari,66,12,93
Cahyo Wibowo,59,29,34
Dewi Anggraini,20,94,10
Eko Nugroho,91,77,86
Fajar Prasetyo,23,50,68
Gita Permata,11,34,50
Hendra Wijaya,86,83,52
Intan Maharani,87,28,90
Joko Susilo,49,77,69
Kurniawan Hakim,47,15,78
Lestari Dewi,22,60,82
Maya Sari,54,70,67
Nugraha Putra,87,80,66
Oki Saputra,80,55,95
Putri Ayu,64,33,68
Rizky Hidayat,76,99,85
Sari Puspita,42,36,77
Taufik Rahman,29,27,69
Utami Sari,58,94,75
Vina Marissa,10,64,91
Wahyu Setiawan,97,88,88
Yanti Agustina,51,14,48
Zulkifli Hasan,89,50,68
Anisa Rahma,41,79,70
Bambang Tri,28,51,82
Citra Ayu,62,25,11
Dani Pratama,58,48,60
Evi Susanti,74,62,63
Farhan Maulana,87,75,19
Gilang Permana,47,44,95
Hana Sari,21,74,82
Indra Wijaya,39,88,16
Johan Setiawan,45,35,97
Kartika Dewi,80,20,61
Lina Herlina,20,57,12
Miko Saputra,77,66,61
Nanda Pratama,12,24,50
Omar Hakim,31,59,73
Pandu Permadi,19,46,84
